Title,Course,Hourse
Install and Manage Google Cloud's Apigee API Platform,3 Courses,4 Hours
.NET Base Class Library,6 Courses,18 Hours
.NET Developer on Microsoft Azure,3 Courses,9 Hours
3ds Max: Environment Modeling,10 Courses,32 Hours
Active Directory Administration,3 Courses,12 Hours
Administering SCCM Current Branch and Microsoft Intune Integration,7 Courses,20 Hours
Adobe Analytics for Developers,7 Courses,13 Hours
Adobe Campaign v6.1,3 Courses,5 Hours
Adobe Experience Manager for Developers,6 Courses,20 Hours
Adobe Target,5 Courses,8 Hours
Adobe Video and Audio Production,11 Courses,30 Hours
Advanced Machine Learning on Google Cloud,5 Courses,22 Hours
After Effects CC,13 Courses,36 Hours
Agile Analysis (IIBA®-AAC),4 Courses,7 Hours
Agile Business Management,8 Courses,12 Hours
Analyzing Network Traffic with Wireshark,6 Courses,16 Hours
Android Development with Kotlin — App Fundamentals,5 Courses,17 Hours
Angular,15 Courses,56 Hours
Angular Denver 2019,44 Courses,16 Hours
AngularJS,13 Courses,50 Hours
API Development in ASP.NET Core,7 Courses,19 Hours
Application Development on Microsoft Azure,9 Courses,19 Hours
Application Security on Microsoft Azure,8 Courses,23 Hours
Architecting Hybrid Cloud Infrastructure with Anthos,3 Courses,7 Hours
Architecting in AWS,5 Courses,20 Hours
Architecting with Google Cloud - Foundations,3 Courses,9 Hours
Architecting with Google Compute Engine,4 Courses,13 Hours
Architecting with Google Kubernetes Engine,4 Courses,10 Hours
Aruba Certified Switching Associate and Professional (HPE6-A41 and HPE6-A45): ACSA and ACSP,5 Courses,8 Hours
ASP.NET Core,15 Courses,41 Hours
ASP.NET MVC 5,11 Courses,31 Hours
AutoCAD: Core Skills,9 Courses,19 Hours
Automating UI Testing with Appium,4 Courses,5 Hours
AWS Application Development,15 Courses,17 Hours
AWS Big Data,9 Courses,25 Hours
AWS Certified Advanced Networking – Specialty (ANS-C00),4 Courses,7 Hours
AWS Certified Cloud Practitioner (CLF-C01),4 Courses,8 Hours
AWS Certified Data Analytics – Specialty (DAS-C01),5 Courses,4 Hours
AWS Certified Developer – Associate (DVA-C01),6 Courses,15 Hours
AWS Certified DevOps Engineer – Professional,4 Courses,12 Hours
AWS Certified Machine Learning – Specialty (MLS-C01),6 Courses,13 Hours
AWS Certified Security – Specialty (SCS-C01),5 Courses,8 Hours
AWS Certified Solutions Architect - Professional (SAP-C01),8 Courses,18 Hours
AWS Certified Solutions Architect – Associate (SAA-C02),6 Courses,17 Hours
AWS Certified SysOps Administrator – Associate (SOA-C01),21 Courses,46 Hours
AWS Cloud Security,8 Courses,14 Hours
AWS Compute,4 Courses,6 Hours
AWS Databases,7 Courses,13 Hours
AWS IoT,8 Courses,13 Hours
AWS Machine Learning / AI,9 Courses,17 Hours
AWS Networking,7 Courses,14 Hours
AWS Operations,7 Courses,14 Hours
AWS Scalability,3 Courses,4 Hours
AWS Storage,7 Courses,15 Hours
Azure Data Solution (DP-201),6 Courses,9 Hours
Becoming a Business Analyst,5 Courses,10 Hours
Beginning Salesforce Administration,11 Courses,17 Hours
Being a Technology Manager,27 Courses,44 Hours
Big Data LDN 2019,101 Courses,42 Hours
Bringing Data Science into the Business,3 Courses,3 Hours
BSides Huntsville 2020,8 Courses,6 Hours
BSides Jacksonville 2019,16 Courses,11 Hours
Building and Administering PowerApps,3 Courses,6 Hours
Building Cross-platform Apps with Xamarin Forms,12 Courses,28 Hours
Building Data Pipelines in Microsoft Azure,4 Courses,9 Hours
Building Data Storage Solutions with Microsoft Azure Services,5 Courses,11 Hours
Building Deep Learning Solutions with PyTorch,8 Courses,19 Hours
Building Machine Learning Solutions with scikit-learn,10 Courses,24 Hours
Building Machine Learning Solutions with Tensorflow,11 Courses,28 Hours
Building Statistical and Mathematical Models with R,9 Courses,21 Hours
Building Web Applications with Blazor,7 Courses,15 Hours
Business Communications with Data,21 Courses,41 Hours
C# Application Practices,4 Courses,15 Hours
C# Coding Practices,4 Courses,10 Hours
C# Development Fundamentals,18 Courses,47 Hours
C# Unit Testing with NUnit,6 Courses,11 Hours
C# Unit Testing with xUnit,6 Courses,11 Hours
C++,13 Courses,46 Hours
C++ Design Patterns,5 Courses,13 Hours
CCSP® (Certified Cloud Security Professional),11 Courses,15 Hours
Certification of Capability in Business Analysis™ (CCBA®),11 Courses,22 Hours
Certified Business Analysis Professional (CBAP®),15 Courses,34 Hours
Certified Kubernetes Administrator (CKA),6 Courses,15 Hours
Certified Kubernetes Application Developer (CKAD),5 Courses,13 Hours
CISA® (Certified Information Systems Auditor®),12 Courses,22 Hours
Cisco CCNA: Cisco Certified Network Associate (CCNA 200-301),20 Courses,49 Hours
Cisco Certified DevNet Associate (DEVASC 200-901),4 Courses,8 Hours
Cisco DCCOR (350-601) for CCNP Data Center,7 Courses,15 Hours
Cisco DEVCOR (350-901) for Cisco Certified DevNet Professional,7 Courses,15 Hours
Cisco ENAUTO (300-435) for Certified DevNet Professional and CCNP Enterprise,5 Courses,7 Hours
Cisco ENCOR (350-401) for CCNP Enterprise,7 Courses,15 Hours
Cisco ENSLD (300-420) for CCNP Enterprise,6 Courses,14 Hours
Cisco SCOR (350-701) for CCNP Security,12 Courses,16 Hours
Cisco SVPN (300-730) for CCNP Security,3 Courses,5 Hours
CISM® (Certified Information Security Manager®),5 Courses,17 Hours
CISSP® (Certified Information Systems Security Professional),18 Courses,33 Hours
"Citrix CCA-V (1Y0-203) and CCP-V (1Y0-311): Installing, Configuring, and Managing Citrix XenDesktop 7.15 LTSR",7 Courses,20 Hours
Cleaning Data with R,4 Courses,8 Hours
COBIT® 5 Foundation,4 Courses,6 Hours
COBIT® 5 Implementation,4 Courses,7 Hours
Code Flows on Microsoft Azure for DevOps Engineers,3 Courses,6 Hours
CodeMash Conference 2020,94 Courses,75 Hours
Collaborative Coding with GitHub,9 Courses,17 Hours
Communications for Project Managers,11 Courses,24 Hours
Communications for Technologists,23 Courses,49 Hours
CompTIA A+ (220-1001 and 220-1002),10 Courses,21 Hours
CompTIA Cloud+ (CV0-002),5 Courses,8 Hours
CompTIA CySA+ (CSO-001),7 Courses,28 Hours
CompTIA Linux+ (XK0-004),10 Courses,45 Hours
CompTIA Network+ (N10-007),5 Courses,16 Hours
CompTIA PenTest+ (PTO-001),10 Courses,22 Hours
CompTIA Project+ (PK0-004),5 Courses,9 Hours
CompTIA Security+ (SY0-501),6 Courses,18 Hours
CompTIA Server+ (SK0-004),7 Courses,19 Hours
Configuration Management Using Ansible,6 Courses,12 Hours
Configuration Management Using Ansible on Windows,2 Courses,3 Hours
Configuration Management using Puppet 4,6 Courses,21 Hours
Configuring Identity and Access in Microsoft Azure,4 Courses,12 Hours
Continuous Delivery and DevOps With Azure DevOps,2 Courses,3 Hours
Continuous Delivery on Microsoft Azure for DevOps Engineers,3 Courses,6 Hours
Continuous Feedback on Microsoft Azure for DevOps Engineers,3 Courses,6 Hours
Continuous Integration on Microsoft Azure for DevOps Engineers,3 Courses,4 Hours
Continuous Security Monitoring and Detection,8 Courses,13 Hours
Core Python,16 Courses,26 Hours
Core Solutions of Microsoft SharePoint Server 2013,3 Courses,11 Hours
COVID-19: The State & Future of Pandemics,21 Courses,14 Hours
Creative Cloud for UX Design,5 Courses,21 Hours
CRISC™ (Certified in Risk and Information Systems Control™),5 Courses,7 Hours
CSS,9 Courses,17 Hours
CSSLP® (Certified Secure Software Lifecycle Professional),9 Courses,24 Hours
Data Analytics Literacy,6 Courses,17 Hours
Data Analytics on Google Cloud,4 Courses,14 Hours
Data Engineering on Google Cloud,5 Courses,16 Hours
Data Science Literacy,8 Courses,22 Hours
Data Visualization with R,5 Courses,7 Hours
Data Wrangling with R,2 Courses,3 Hours
Dependency Management on Microsoft Azure for DevOps Engineers,3 Courses,3 Hours
Deploying and Managing Microsoft Azure AI Solutions,3 Courses,5 Hours
Deploying Microsoft 365 Teamwork (MS-300),4 Courses,19 Hours
Deploying Microsoft Azure Data Solutions,3 Courses,6 Hours
Design Patterns in C#,16 Courses,10 Hours
Design Patterns in Java,4 Courses,12 Hours
Designing and Deploying Microsoft Exchange Server 2016 (70-345),6 Courses,18 Hours
Designing and Implementing a Windows Server 2012 Infrastructure (70-413),6 Courses,12 Hours
Designing Microsoft Azure AI Solutions,6 Courses,10 Hours
Designing Microsoft Azure Applications,8 Courses,18 Hours
Developing APIs with Google Cloud's Apigee API Platform,3 Courses,3 Hours
Developing Applications with Google Cloud,3 Courses,5 Hours
Developing Microsoft Azure AI Solutions,5 Courses,11 Hours
Developing Solutions for Microsoft Azure (AZ-203),24 Courses,59 Hours
Developing SQL Server Databases,10 Courses,22 Hours
Developing Websites for Accessibility,5 Courses,8 Hours
DEVintersection 2019,20 Courses,18 Hours
DevOps on Oracle Cloud: The Big Picture,10 Courses,13 Hours
Domain-Driven Design,9 Courses,32 Hours
Droidcon Boston 2019,32 Courses,19 Hours
droidcon NYC 2019,86 Courses,48 Hours
droidcon SF 2019,70 Courses,38 Hours
Emotional Intelligence for Leaders and Managers,5 Courses,8 Hours
Emotional Intelligence for Project Managers,6 Courses,10 Hours
Enabling Platform Protection in Microsoft Azure,7 Courses,12 Hours
Engineering Features for Machine Learning in Microsoft Azure,5 Courses,9 Hours
Entity Framework 6,6 Courses,22 Hours
Entity Framework Core,5 Courses,12 Hours
Entry Certificate in Business Analysis™ (ECBA™),11 Courses,22 Hours
Ethical Hacking (CEH Prep 2018),21 Courses,79 Hours
Ethical Hacking Fundamentals,21 Courses,79 Hours
Exploratory Data Analysis with R,2 Courses,4 Hours
Feature Engineering,6 Courses,16 Hours
Front UX & Product Management Case Study Conference 2019,13 Courses,8 Hours
Fundamentals of IT Operations,20 Courses,40 Hours
Fundamentals of Virtualization,5 Courses,6 Hours
Fusion 360: Core Skills,15 Courses,30 Hours
G Suite Administration,5 Courses,1 Hours
Game Environment Modeling,9 Courses,28 Hours
Go Core Language,15 Courses,24 Hours
Google Cloud Big Data - Foundations,3 Courses,13 Hours
Google Cloud Business Essentials,2 Courses,5 Hours
Google Cloud Certified Associate Cloud Engineer,6 Courses,17 Hours
Google Cloud Certified Professional Cloud Architect,7 Courses,21 Hours
Google Cloud Certified Professional Data Engineer,6 Courses,18 Hours
Google Cloud Functions,3 Courses,10 Hours
Google: Associate Android Developer (AAD),8 Courses,28 Hours
Graphic Design,21 Courses,30 Hours
Group Policy Administration,4 Courses,18 Hours
Houdini: Core Skills,13 Courses,36 Hours
HTML5,11 Courses,34 Hours
IBM QRadar Incident Detection and Response,3 Courses,7 Hours
ICAgile Certified Professional - Agile Fundamentals,5 Courses,9 Hours
Identity and Access Management on AWS,4 Courses,9 Hours
Identity with Windows Server 2016 (70-742),7 Courses,32 Hours
Illustrator CC for Creative Professionals,14 Courses,33 Hours
Implementing an Advanced Windows Server 2012 Infrastructure (70-414),5 Courses,16 Hours
Implementing Mobile Device Management (MDM) with Microsoft Intune,4 Courses,7 Hours
Implementing Mobile Device Management with VMware Workspace ONE,5 Courses,9 Hours
Implementing the Data Science Workflow in Microsoft Azure,9 Courses,14 Hours
Importing Data with R,2 Courses,3 Hours
InDesign CC for Creative Professionals,10 Courses,29 Hours
Information Security Testing and Auditing with Nmap,3 Courses,4 Hours
Infrastructure and Configuration on Microsoft Azure for DevOps Engineers,5 Courses,10 Hours
Infrastructure as a Service (IaaS) using Microsoft Azure,7 Courses,23 Hours
"Installation, Storage, and Compute with Windows Server 2016 (70-740)",7 Courses,21 Hours
Integration on Microsoft Azure,3 Courses,7 Hours
Interpreting Data with Python,3 Courses,7 Hours
Interpreting Data with R,2 Courses,3 Hours
Introduction to Professional Scrum,6 Courses,4 Hours
Introspection and Mindfulness for Technologists,9 Courses,18 Hours
Inventor: Core Skills,12 Courses,23 Hours
iOS App Development — Fundamentals,12 Courses,31 Hours
IT Outsourcing,4 Courses,6 Hours
IT Support Fundamentals,9 Courses,20 Hours
ITIL® 4 Foundation,2 Courses,2 Hours
Java Coding Practices,4 Courses,8 Hours
Java Development Environments and Tooling,6 Courses,15 Hours
Java EE Foundations,10 Courses,33 Hours
Java Language Fundamentals,21 Courses,52 Hours
Java Unit Testing,5 Courses,8 Hours
JavaScript Core Language,9 Courses,14 Hours
jQuery,8 Courses,25 Hours
Juniper Networks JNCIA-Junos (JN0-103) - Certified Associate,6 Courses,8 Hours
"Juniper Networks JNCIS-ENT (JN0-347) - Enterprise Routing and Switching, Specialist",9 Courses,23 Hours
Juniper Networks Networking Fundamentals,7 Courses,10 Hours
Kubernetes Administration,6 Courses,15 Hours
Leadership and Management for Project Managers,13 Courses,19 Hours
Lean Six Sigma (Yellow Belt),4 Courses,9 Hours
Linux Foundation Certified Engineer (LFCE),6 Courses,17 Hours
Linux Foundation Certified System Administrator (LFCS),9 Courses,43 Hours
Linux Fundamentals,3 Courses,4 Hours
LPI Linux Essentials (010-160),4 Courses,4 Hours
LPIC-1: Linux Administrator (101-500 and 102-500),9 Courses,42 Hours
LPIC-2: Linux Engineer (201-450 and 202-450),9 Courses,39 Hours
Machine Learning Literacy,5 Courses,15 Hours
Machine Learning on Google Cloud,5 Courses,17 Hours
Malware Analysis,13 Courses,30 Hours
Managing Containers with Docker,14 Courses,44 Hours
Managing Microsoft 365 Identity and Services,9 Courses,6 Hours
Managing Microsoft 365 Identity and Services (MS-100),9 Courses,6 Hours
Managing Microsoft Azure App Services,5 Courses,10 Hours
Managing Microsoft Azure Compute,5 Courses,7 Hours
Managing Microsoft Azure Identity and Security,9 Courses,20 Hours
Managing Microsoft Azure Networking,5 Courses,6 Hours
Managing Microsoft Azure Storage,5 Courses,13 Hours
Managing Microsoft Networks,9 Courses,28 Hours
Managing Modern Microsoft Desktops,4 Courses,8 Hours
Managing Projects,15 Courses,38 Hours
Managing SaaS Services,6 Courses,6 Hours
Managing Security Operations in Microsoft Azure,4 Courses,7 Hours
Managing Source Code with Git,7 Courses,12 Hours
Managing Time,4 Courses,4 Hours
Mastering Cisco DevNet Application Design and Network Automation Techniques,5 Courses,15 Hours
Maya: Character Modeling,9 Courses,33 Hours
Maya: Core Skills,11 Courses,54 Hours
Maya: Dynamics Core Skills,10 Courses,37 Hours
Maya: Environment Modeling,13 Courses,73 Hours
Maya: Modeling,10 Courses,24 Hours
"MCSA: Windows Server 2012 R2 (70-410, 70-411, and 70-412)",21 Courses,50 Hours
Microservices Architecture,8 Courses,18 Hours
Microsoft 365 Basic Concepts and Fundamentals,3 Courses,3 Hours
Microsoft 365 Fundamentals (MS-900),3 Courses,3 Hours
Microsoft 365 Mobility and Security (MS-101),7 Courses,7 Hours
Microsoft Azure + AI Conference 2019,20 Courses,20 Hours
Microsoft Azure Administrator (AZ-103),24 Courses,44 Hours
Microsoft Azure AI Engineer (AI-100),14 Courses,26 Hours
Microsoft Azure Architect Design (AZ-301),25 Courses,56 Hours
Microsoft Azure Architect Technologies (AZ-300),28 Courses,66 Hours
Microsoft Azure Compute for Developers,7 Courses,20 Hours
Microsoft Azure Data Engineer (DP-200),16 Courses,32 Hours
Microsoft Azure Data Scientist (DP-100),25 Courses,48 Hours
Microsoft Azure Deployment,4 Courses,7 Hours
Microsoft Azure DevOps Engineer (AZ-400),20 Courses,34 Hours
Microsoft Azure Security Engineer (AZ-500),21 Courses,44 Hours
Microsoft Azure Stack Planning and Operations,4 Courses,5 Hours
Microsoft Azure Storage for Developers,10 Courses,21 Hours
"Microsoft Excel Data Manipulation, Presentation, and Analysis",11 Courses,15 Hours
Microsoft Excel Programming,6 Courses,7 Hours
Microsoft Ignite 2019: Azure Fundamentals,10 Courses,7 Hours
Microsoft Ignite 2019: Breakouts,69 Courses,52 Hours
Microsoft Ignite 2019: Delivering the Modern Data Warehouse,5 Courses,4 Hours
Microsoft Ignite 2019: Developer's Guide to AI,5 Courses,4 Hours
Microsoft Ignite 2019: Developing Cloud Native Applications,5 Courses,4 Hours
Microsoft Ignite 2019: Improving Reliability through Modern Operations Practices,4 Courses,3 Hours
Microsoft Ignite 2019: Managing Cloud Operations,2 Courses,1 Hours
Microsoft Ignite 2019: Migrating Server Infrastructure,3 Courses,2 Hours
Microsoft Ignite 2019: Modernizing Web Applications,5 Courses,4 Hours
Microsoft Ignite 2019: Tech Keynotes and Thought Leadership,8 Courses,8 Hours
Microsoft Internet Information Services (IIS) Administration,6 Courses,13 Hours
Microsoft Modern Desktop Administrator: Managing Microsoft Desktops (MD-101),5 Courses,9 Hours
Microsoft Modern Desktop Administrator: Windows 10 (MD-100),6 Courses,15 Hours
Microsoft Power BI for Analysts,13 Courses,34 Hours
Microsoft Power Platform Fundamentals (PL-900),6 Courses,6 Hours
Microsoft Windows Fundamentals,1 Courses,11 Hours
"Modern Windows Deployment, Configuration, and Management",5 Courses,15 Hours
Monitoring and Managing Microsoft Azure Data Solutions,6 Courses,9 Hours
Monitoring and Troubleshooting Code on Microsoft Azure,5 Courses,8 Hours
Monitoring Microsoft Azure,4 Courses,7 Hours
Monitoring Microsoft Resources with System Center 2016 - Operations Manager (SCOM),4 Courses,12 Hours
MySQL,8 Courses,17 Hours
Network Defense (CND Prep),10 Courses,18 Hours
Networking Fundamentals,6 Courses,19 Hours
